 ,,,,,,,For Andrew ,,,,,,,,
Date,SKU,Style,Color,Size,Quantity,In/Out,"Processed
(Stocky)",Notes (LightSpeed Return or Damaged),"Reason For
Defect/Damaged",Your Name,FC Batch / INV #,FC Control #,SHOPIFY,"Processed
(FC)",
11/18/2020,V101,Tuvalu tee,CCO,XXL,1,Out,TRUE,Damaged,,DIANE,970687,,1044,TRUE,
11/18/2020,VW323,Daily legging,DSK,M,1,Out,TRUE,Damaged,,DIANE,970687,,1044,TRUE,
11/18/2020,VW516,Womens alpine sherpa,HTG,S,1,Out,TRUE,Damaged,,DIANE,970687,,1044,TRUE,
11/18/2020,V412,Ripstop climber pant,CCL,L,1,Out,TRUE,Damaged,,DIANE,970687,,1044,TRUE,
11/18/2020,VW409,clean elevation leggings,HCC,M,1,In,TRUE,Lightspeed Return,,DIANE,1126,1834,1045,TRUE,
11/18/2020,VW409,clean elevation leggings,HCC,M,1,Out,TRUE,Damaged,,DIANE,970687,,1044,TRUE,
11/18/2020,VW323,Daily legging,SPC,XS,1,In,TRUE,Lightspeed Return,,DIANE,1126,1834,1045,TRUE,
11/18/2020,VW323,Daily legging,SPC,XS,1,Out,TRUE,Damaged,,DIANE,970687,,1044,TRUE,
11/19/2020,VW303,Performance jogger,HTG/NAT,S,1,In,TRUE,Lightspeed Giftcard,,DIANE,1140,1852,1055,TRUE,
11/19/2020,VW303,Performance jogger,BCM,XL,1,In,TRUE,Lightspeed Giftcard,,DIANE,1140,1852,1055,TRUE,
11/19/2020,VW303,Perormance jogger,HTG/NAT,S,1,Out,TRUE,Damaged,,DIANE,995840,,1051,TRUE,
11/19/2020,VW170,L/S Coast Tee,CCL,S,1,Out,TRUE,Damaged,,DIANE,995840,,1051,TRUE,
11/19/2020,VW323,Daily legging,GMO,S,1,Out,TRUE,Damaged,,DIANE,995840,,1051,TRUE,
11/19/2020,VW303,Performance jogger,HTG,S,1,Out,TRUE,Damaged,,DIANE,995840,,1051,TRUE,
